"Activity_Group,Sex_Label,count,mean,std"
"High (6-7 days),Female,2732,66.5127646441874,26.711873776956413"
"High (6-7 days),Male,1629,60.842704140325345,25.734523892781272"
"Low (0-2 days),Female,1752,65.76048610656434,29.88067810344595"
"Low (0-2 days),Male,2876,64.85709533762935,27.275813302294598"
"Medium (3-5 days),Female,1945,66.61491990186376,28.337498067675284"
"Medium (3-5 days),Male,1911,63.24343577233281,26.866672980272718"
